ID,Label,Weight
侯亮平,侯亮平,187
丁义珍,丁义珍,76
赵德汉,赵德汉,20
陈海,陈海,54
陆亦可,陆亦可,54
林华华,林华华,19
季昌明,季昌明,27
高育良,高育良,49
周正,周正,8
祁同伟,祁同伟,49
李达康,李达康,139
高育民,高育民,4
沙瑞金,沙瑞金,57
孙连城,孙连城,15
张树立,张树立,2
安抚,安抚,4
陈岩石,陈岩石,43
何阿三,何阿三,9
高小琴,高小琴,35
蔡成功,蔡成功,132
侯浩然,侯浩然,2
郑西坡,郑西坡,69
赵东来,赵东来,52
郑胜利,郑胜利,25
扬言,扬言,2
许诺,许诺,2
秦思远,秦思远,5
钟小艾,钟小艾,6
欧阳菁,欧阳菁,65
王大路,王大路,11
张宝宝,张宝宝,2
张卡,张卡,2
小皮球,小皮球,18
李梁,李梁,1
毕敬业,毕敬业,2
桂花,桂花,5
陈群芳,陈群芳,3
陈述,陈述,1
